"","Sourced","Placed","References","Value","Footprint","LCSC","Quantity"
1,"","","C1, C2","0.1uF","C_0402_1005Metric","C1525",2
2,"","","C3","2.2nF","C_0603_1608Metric","C1604",1
3,"","","C4","10nF","C_0603_1608Metric","C14663",1
4,"","","R2, R3","4.7k","R_0603_1608Metric","C23162",2
5,"","","R1","47Ω","R_0201_0603Metric","C23182",1
6,"","","D1","KT-0603R","LED_0603_1608Metric","C2286",1
7,"","","U1","MPU-6050","InvenSense_QFN-24_4x4mm_P0.5mm","C24112",1
8,"","","SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9, SW10, SW11, SW12, SW13","SW_Push","SW_SPST_Omron_B3F-40xx","C87494",13
9,"","","S1, S2","Tactile Button, 160gf","SW_TS-1088-AR02016","C720477",2
10,"","","GND1","RaspberryPi_Pico","RaspberryPi_Pico_Common_Unspecified","pi pico",1
11,"","","J2","Conn_01x08_Socket","PinSocket_1x08_P2.54mm_Vertical","C27438",1
